#loc_id	ags	ascii	name	lat	lon	amt	plz	vorwahl	einwohner	flaeche	kz	typ	level	of	invalid
34595		SINT-JOB-IN'T-GOOR	Sint-Job-in't-Goor	51.3	4.5833333		2960					100600000	7	35169	
34597		SINT-JORIS	Sint-Joris	51.1333333	3.3666667		8730					100600000	7	35377	
34598		SINT-JORIS	Sint-Joris	51.1333333	2.7833333		8620					100600000	7	35423	
34599		SINT-JORIS-WEERT	Sint-Joris-Weert	50.8083333	4.65		3051					100600000	7	35368	
34600		SINT-JORIS-WINGE	Sint-Joris-Winge	50.9166667	4.8666667		3390					100600000	7	35372	
35192		SINT-KATELIJNE-WAVER	Sint-Katelijne-Waver	51.0666667	4.55		2860,2861					100600000	6	648	
34601		SINT-KATELIJNE-WAVER	Sint-Katelijne-Waver	51.0666667	4.5333333		2860					100600000	7	35192	
34602		SINT-KATHERINA-LOMBEEK	Sint-Katherina-Lombeek	50.8666667	4.15		1742					100600000	7	35340	
34603		SINT-KORNELIS-HOREBEKE	Sint-Kornelis-Horebeke	50.8333333	3.7		9667					100600000	7	33456	
34604		SINT-KRUIS	Sint-Kruis	51.2166667	3.25		8310					100600000	7	35379	
34605		SINT-KRUIS-WINKEL	Sint-Kruis-Winkel	51.15	3.8166667		9042					100600000	7	35283	
34606		SINT-KWINTENS-LENNIK	Sint-Kwintens-Lennik	50.8	4.15		1750					100600000	7	35325	
34607		SINT-LAMBRECHTS-HERK	Sint-Lambrechts-Herk	50.9	5.3		3500					100600000	7	35210	
35270		SINT-LAUREINS	Sint-Laureins	51.2733333	3.5699999		9980,9981,9982					100600000	6	655	
34609		SINT-LAUREINS	Sint-Laureins	51.25	3.5166667		9980					100600000	7	35270	
34610		SINT-LAUREINS-BERCHEM	Sint-Laureins-Berchem	50.7833333	4.2		1600					100600000	7	35338	
34611		SINT-LENAARTS	Sint-Lenaarts	51.35	4.6833333		2960					100600000	7	35169	
34612		SINT-LIEVENS-ESSE	Sint-Lievens-Esse	50.85	3.8666667		9550					100600000	7	35253	
35256		SINT-LIEVENS-HOUTEM	Sint-Lievens-Houtem	50.9294444	3.8761111		9520,9521					100600000	6	653	
34613		SINT-LIEVENS-HOUTEM	Sint-Lievens-Houtem	50.9166667	3.85		9520					100600000	7	35256	
34614		SINT-MARGRIETE	Sint-Margriete	51.2833333	3.5333333		9981					100600000	7	35270	
35374		SINT-MARGRIETE-HOUTEM	Sint-Margriete-Houtem	50.8333333	4.9666667		9981					100600000	7	35373	
35272		SINT-MARIA-AALTER	Sint-Maria-Aalter	51.0833333	3.3666667		9880					100600000	7	35125	
34615		SINT-MARIA-HOREBEKE	Sint-Maria-Horebeke	50.8333333	3.7		9667					100600000	7	33456	
34616		SINT-MARIA-LATEM	Sint-Maria-Latem	50.8833333	3.7		9630					100600000	7	35304	
34617		SINT-MARIA-LIERDE	Sint-Maria-Lierde	50.8166667	3.85		9570					100600000	7	33742	
34619		SINT-MARIA-OUDENHOVE	Sint-Maria-Oudenhove	50.8333333	3.7833333		9620					100600000	7	35257	
34620		SINT-MARTENS-BODEGEM	Sint-Martens-Bodegem	50.8666667	4.2		1700					100600000	7	35317	
35293		SINT-MARTENS-LATEM	Sint-Martens-Latem	51.0083333	3.6166666		9830,9831					100600000	6	656	
34621		SINT-MARTENS-LATEM	Sint-Martens-Latem	51.0166667	3.6333333		9830					100600000	7	35293	
34622		SINT-MARTENS-LEERNE	Sint-Martens-Leerne	51.0166667	3.5833333		9800					100600000	7	35273	
34623		SINT-MARTENS-LENNIK	Sint-Martens-Lennik	50.8	4.15		1750					100600000	7	35325	
34624		SINT-MARTENS-LIERDE	Sint-Martens-Lierde	50.8	3.8166667		9572					100600000	7	33742	
34625		SINT-MARTENS-VOEREN	Sint-Martens-Voeren	50.75	5.8166667		3790					100600000	7	35246	
34626		SINT-MICHIELS	Sint-Michiels	51.1833333	3.2		8200					100600000	7	35379	
